no,time,S,N,P10,P2.5,O,C,Humi-R,W-Direc,W-Speed,A-Pres,A-Temp
260,2015/1/1 12:00,0.022,0.02,0.064,0.025,0.068,0.401,27.778,245.638,2.009,1029.731,5.285
260,2015/1/1 13:00,0.022,0.021,0.064,0.023,0.07,0.412,27.488,216.073,1.838,1029.529,5.443
260,2015/1/1 14:00,0.027,0.029,0.064,0.027,0.064,0.456,29.789,252.662,1.87,1030.213,5.482
260,2015/1/1 15:00,0.026,0.029,0.072,0.033,0.065,0.525,29.629,243.908,1.821,1030.128,4.952
260,2015/1/1 16:00,0.026,0.034,0.077,0.04,0.059,0.578,30.406,244.683,1.543,1029.985,4.22
260,2015/1/1 17:00,0.029,0.055,0.077,0.037,0.036,0.771,33.258,228.319,0.869,1029.622,3.417
260,2015/1/1 18:00,0.034,0.069,0.097,0.056,0.021,0.827,36.483,253.206,0.959,1029.689,2.851
260,2015/1/1 19:00,0.029,0.072,0.104,0.057,0.016,0.876,38.569,253.242,0.731,1030.078,2.501
260,2015/1/1 20:00,0.028,0.082,0.095,0.047,0.007,1.085,40.384,231.19,0.562,1029.613,2.105
260,2015/1/1 21:00,0.03,0.082,0.106,0.051,0.006,1.286,44.301,183.804,0.408,1029.453,1.548
260,2015/1/1 22:00,0.031,0.083,0.139,0.068,0.007,1.488,48.97,185.35,0.389,1028.803,0.855
260,2015/1/1 23:00,0.031,0.084,0.16,0.085,0.007,1.563,51.24,164.679,0.388,1028.55,0.463
260,2015/1/2 0:00,0.037,0.086,0.153,0.09,0.008,1.073,51.538,182.901,0.366,1028.271,0.265
260,2015/1/2 1:00,0.032,0.085,0.16,0.102,0.007,1.385,52.878,185.536,0.408,1028.018,0.065
260,2015/1/2 2:00,0.031,0.075,0.161,0.108,0.007,1.295,53.224,159.821,0.329,1027.722,-0.238
260,2015/1/2 3:00,0.028,0.076,0.162,0.105,0.007,1.259,54.522,212.901,0.421,1027.258,-0.485
260,2015/1/2 4:00,0.033,0.074,0.173,0.111,0.006,1.236,54.667,138.662,0.262,1026.524,-0.794
260,2015/1/2 5:00,0.028,0.072,0.154,0.106,0.005,1.334,57.186,43.633,0.097,1026.507,-0.928
260,2015/1/2 6:00,0.035,0.083,0.172,0.113,0.008,2.192,60.541,192.41,0.375,1026.954,-0.979
260,2015/1/2 7:00,0.028,0.08,0.183,0.112,0.006,1.496,59.179,168.785,0.345,1027.494,-0.441
260,2015/1/2 8:00,0.037,0.076,0.163,0.098,0.009,1.237,48.925,191.503,0.605,1028.355,2.403
260,2015/1/2 9:00,0.062,0.076,0.183,0.098,0.015,1.147,44.035,255.545,1.214,1028.516,4.19
260,2015/1/2 10:00,0.062,0.061,0.17,0.094,0.032,0.905,36.771,254.95,1.701,1027.967,5.622
260,2015/1/2 11:00,0.06,0.058,0.142,0.079,0.043,0.839,32.818,244.617,1.431,1026.971,6.95
260,2015/1/2 12:00,0.052,0.056,0.142,0.079,0.049,0.795,29.273,205.594,1.107,1025.966,8.233
260,2015/1/2 13:00,0.043,0.048,0.122,0.066,0.059,0.693,24.957,219.834,1.179,1025.646,9.129
260,2015/1/2 14:00,0.043,0.045,0.108,0.058,0.06,0.699,24.736,180.123,1.198,1025.384,9.389
260,2015/1/2 15:00,0.055,0.068,0.115,0.063,0.04,0.923,30.379,173.595,1.221,1025.907,8.808
260,2015/1/2 16:00,0.062,0.089,0.135,0.072,0.013,1.181,32.389,133.595,0.83,1025.958,7.863
260,2015/1/2 17:00,0.063,0.104,0.143,0.079,0.01,1.555,35.675,103.567,0.571,1026.034,6.757
260,2015/1/2 18:00,0.063,0.118,0.187,0.099,0.007,2.259,39.886,59.659,0.315,1026.87,6.348
260,2015/1/2 19:00,0.057,0.116,0.228,0.125,0.007,3.011,44.683,37.566,0.301,1027.072,5.732
260,2015/1/2 20:00,0.045,0.104,0.271,0.158,0.006,1.991,49.029,70.696,0.782,1026.785,5.083
260,2015/1/2 21:00,0.038,0.104,0.226,0.131,0.005,2.303,53.199,75.069,0.674,1026.313,4.665
260,2015/1/2 22:00,0.038,0.101,0.193,0.108,0.005,2.011,54.903,64.488,0.594,1025.629,4.135
260,2015/1/2 23:00,0.035,0.095,0.18,0.107,0.005,1.891,58.348,97.632,0.358,1025.874,3.549
260,2015/1/3 0:00,0.031,0.094,0.174,0.109,0.005,1.209,61.668,167.879,0.463,1025.814,3.122
260,2015/1/3 1:00,0.031,0.096,0.183,0.109,0.005,1.711,62.254,94.52,0.316,1025.409,3.178
260,2015/1/3 2:00,0.027,0.093,0.179,0.11,0.006,1.988,64.667,49.779,0.202,1024.219,3.147
260,2015/1/3 3:00,0.026,0.088,0.18,0.112,0.005,1.993,65.858,55.13,0.113,1024.32,3.396
260,2015/1/3 4:00,0.028,0.088,0.169,0.107,0.005,1.743,65.188,73.445,0.436,1023.442,3.71
260,2015/1/3 5:00,0.029,0.09,0.168,0.106,0.006,2.053,65.583,76.452,0.316,1023.299,3.555
260,2015/1/3 6:00,0.027,0.091,0.184,0.114,0.006,2.112,69.086,79.46,0.308,1022.97,3.092
260,2015/1/3 7:00,0.039,0.089,0.192,0.109,0.005,1.27,59.248,110.29,0.714,1022.151,4.138
260,2015/1/3 8:00,0.043,0.084,0.158,0.092,0.009,1.189,50.484,110.793,0.755,1022.412,5.563
260,2015/1/3 9:00,0.048,0.073,0.162,0.092,0.016,1.073,53.848,125.691,1.218,1022.556,7.102
260,2015/1/3 10:00,0.061,0.069,0.161,0.09,0.021,1.024,59.768,138.975,1.764,1021.83,7.489
260,2015/1/3 11:00,0.051,0.06,0.16,0.09,0.036,0.958,54.723,139.031,1.775,1020.665,8.455
260,2015/1/3 12:00,0.044,0.058,0.15,0.089,0.048,0.851,45.158,137.304,1.721,1019.348,10.218
260,2015/1/3 13:00,0.041,0.064,0.141,0.076,0.052,0.778,37.989,139.051,1.581,1018.217,11.704
260,2015/1/3 14:00,0.041,0.073,0.13,0.071,0.051,0.8,36.372,144.435,1.803,1017.862,12.421
260,2015/1/3 15:00,0.036,0.086,0.137,0.074,0.047,0.824,36.97,141.156,1.452,1017.694,12.2
260,2015/1/3 16:00,0.038,0.111,0.139,0.075,0.026,0.983,40.764,122.731,0.997,1017.643,11.469
260,2015/1/3 17:00,0.062,0.133,0.169,0.086,0.007,1.229,47.644,129.883,0.981,1017.651,10.154
260,2015/1/3 18:00,0.045,0.127,0.187,0.102,0.01,1.176,51.147,122.198,0.822,1017.601,9.392
260,2015/1/3 19:00,0.036,0.127,0.174,0.101,0.008,1.289,57.156,119.958,0.727,1017.069,8.872
260,2015/1/3 20:00,0.036,0.113,0.168,0.098,0.006,1.171,63.389,115.558,0.765,1016.765,8.794
260,2015/1/3 21:00,0.034,0.11,0.145,0.086,0.005,1.209,67.373,115.499,0.667,1016.469,8.62
260,2015/1/3 22:00,0.027,0.092,0.136,0.082,0.009,0.935,71.046,102.654,0.812,1015.845,8.581
260,2015/1/3 23:00,0.024,0.093,0.122,0.076,0.005,0.964,74.248,76.808,0.388,1015.676,8.051
260,2015/1/4 0:00,0.023,0.085,0.118,0.073,0.008,0.652,76.06,113.721,0.596,1015.735,8.142
260,2015/1/4 1:00,0.021,0.084,0.116,0.073,0.006,0.904,78.49,208.184,0.545,1015.381,7.564
260,2015/1/4 2:00,0.021,0.083,0.124,0.077,0.004,0.942,80.423,217.611,0.599,1015.144,7.163
260,2015/1/4 3:00,0.02,0.079,0.127,0.079,0.004,1,81.881,239.143,0.546,1014.697,6.546
260,2015/1/4 4:00,0.019,0.082,0.122,0.085,0.004,0.961,83.681,248.617,0.518,1014.638,6.159
260,2015/1/4 5:00,0.018,0.084,0.13,0.089,0.005,1.119,84.699,254.255,0.619,1014.241,5.696
260,2015/1/4 6:00,0.02,0.087,0.148,0.097,0.005,1.507,84.663,190.92,0.407,1014.452,5.423
260,2015/1/4 7:00,0.022,0.093,0.163,0.108,0.006,2.488,85.383,64.243,0.112,1015.321,5.595
260,2015/1/4 8:00,0.04,0.121,0.211,0.132,0.007,2.516,75.771,175.549,0.492,1016.36,8.223
260,2015/1/4 9:00,0.09,0.153,0.295,0.169,0.008,2.371,61.291,170.215,0.574,1016.275,11.122
260,2015/1/4 10:00,0.126,0.164,0.354,0.213,0.014,2.255,49.657,137.622,0.391,1015.946,13.936
260,2015/1/4 11:00,0.116,0.174,0.352,0.223,0.018,2.09,41.091,184.358,0.526,1015.583,16.139
260,2015/1/4 12:00,0.103,0.166,0.317,0.198,0.024,1.965,34.292,152.234,0.574,1014.925,17.581
260,2015/1/4 13:00,,0.143,0.248,0.152,0.026,1.685,29.322,103.386,0.653,1014.629,18.457
260,2015/1/4 14:00,0.075,,,,,,,108.939,0.431,,
260,2015/1/4 15:00,0.076,0.169,,,0.023,1.442,,62.437,0.953,,
260,2015/1/4 16:00,0.086,0.177,0.221,0.121,0.008,1.491,36.203,75.568,1.232,1014.553,16.068
260,2015/1/4 17:00,0.054,0.169,0.224,0.124,0.007,1.697,38.13,78.958,0.919,1014.52,14.374
260,2015/1/4 18:00,0.055,0.186,0.262,0.137,0.009,3.14,45.099,73.264,0.642,1014.891,12.79
260,2015/1/4 19:00,0.054,0.184,0.34,0.179,0.007,3.03,50.276,76.509,0.69,1014.908,11.672
260,2015/1/4 20:00,0.054,0.182,0.273,0.161,0.006,2.706,52.847,69.279,0.654,1014.612,10.818
260,2015/1/4 21:00,0.049,0.179,0.261,0.162,0.005,2.629,58.704,71.217,0.672,1014.528,9.82
260,2015/1/4 22:00,0.045,0.174,0.269,0.169,0.005,2.389,63.49,67.434,0.693,1014.283,9.246
260,2015/1/4 23:00,0.041,0.159,0.248,0.159,0.005,2.189,66.547,59.531,0.615,1014.055,9.016
260,2015/1/5 0:00,0.032,0.144,0.226,0.145,0.005,1.543,71.072,55.666,0.49,1013.996,8.52
260,2015/1/5 1:00,0.027,0.124,0.211,0.135,0.004,1.469,73.503,65.279,0.693,1013.751,8.611
260,2015/1/5 2:00,0.023,0.078,0.134,0.084,0.013,0.559,83.496,93.051,1.089,1012.983,10.799
260,2015/1/5 3:00,0.025,0.062,0.076,0.055,0.019,0.446,90.572,100.368,1.002,1012.367,11.59
260,2015/1/5 4:00,0.025,0.048,0.07,0.052,0.029,0.41,93.38,118.292,1.109,1011.953,12.111
260,2015/1/5 5:00,0.027,0.043,0.067,0.047,0.032,0.404,94.424,133.294,1.718,1011.438,12.74
260,2015/1/5 6:00,0.028,0.048,0.069,0.051,0.027,0.523,95.316,141.393,2.096,1011.438,12.881
260,2015/1/5 7:00,0.024,0.059,0.072,0.051,0.017,0.649,95.669,146.414,1.759,1011.32,12.847
260,2015/1/5 8:00,0.021,0.055,0.073,0.054,0.027,0.674,93.99,143.717,1.745,1011.827,13.332
260,2015/1/5 9:00,0.021,0.064,0.08,0.054,0.03,0.756,86.353,140.516,1.44,1011.523,14.871
260,2015/1/5 10:00,0.028,0.065,0.095,0.057,0.05,0.646,67.919,172.96,1.662,1010.662,17.176
260,2015/1/5 11:00,0.032,0.05,0.093,0.051,0.077,0.51,51.863,189.003,1.886,1009.733,18.861
260,2015/1/5 12:00,0.028,0.051,0.091,0.044,0.074,0.509,45.583,203.445,1.431,1008.695,19.33
260,2015/1/5 13:00,0.025,0.077,0.092,0.044,0.047,0.656,46.205,220.481,0.967,1008.703,18.59
260,2015/1/5 14:00,0.026,0.097,0.113,0.052,0.034,0.752,47.223,214.059,0.83,1008.543,18.54
260,2015/1/5 15:00,0.031,0.112,0.149,0.073,0.022,0.893,45.816,241.098,1.309,1008.99,18.039
260,2015/1/5 16:00,0.04,0.128,0.206,0.104,0.01,1.176,43.972,233.465,1.045,1009.277,17.134
260,2015/1/5 17:00,0.045,0.136,0.271,0.146,0.007,1.505,47.792,238.798,0.864,1009.699,16.419
260,2015/1/5 18:00,0.054,0.139,0.273,0.158,0.007,1.695,50.339,209.47,0.616,1010.248,16.061
260,2015/1/5 19:00,0.058,0.15,0.307,0.184,0.008,2.094,53.444,178.03,0.434,1010.695,15.682
260,2015/1/5 20:00,0.051,0.146,0.382,0.223,0.008,2.157,57.12,225.073,0.701,1011.16,15.398
260,2015/1/5 21:00,0.033,0.112,0.331,0.192,0.005,1.184,68.12,262.893,2.305,1011.303,15.53
260,2015/1/5 22:00,0.037,0.083,0.178,0.108,0.012,1.374,71.411,264.719,2.283,1012.806,14.572
260,2015/1/5 23:00,0.054,0.109,0.22,0.146,0.006,1.907,66.148,272.691,2.371,1013.228,13.523
260,2015/1/6 0:00,0.063,0.113,0.283,0.19,0.006,1.372,64.366,268.901,2.406,1013.844,12.57
260,2015/1/6 1:00,0.053,0.1,0.305,0.214,0.006,1.983,67.414,280.254,2.413,1014.815,11.293
260,2015/1/6 2:00,0.041,0.081,0.327,0.246,0.006,2.34,75.252,258.834,2.138,1015.879,10.454
260,2015/1/6 3:00,0.025,0.058,0.305,0.234,0.016,1.622,84.162,256.002,2.067,1016.393,9.732
260,2015/1/6 4:00,0.02,0.035,0.25,0.191,0.042,1.237,88.282,238.219,1.767,1016.866,9.312
260,2015/1/6 5:00,0.025,0.03,0.235,0.167,0.052,1.209,82.831,221.592,1.805,1017.955,9.33
260,2015/1/6 6:00,0.025,0.031,0.215,0.154,0.048,1.243,82.978,216.272,1.752,1018.816,8.91
260,2015/1/6 7:00,0.023,0.033,0.154,0.114,0.038,1.229,83.658,235.024,1.702,1020.31,8.321
260,2015/1/6 8:00,0.022,0.036,0.105,0.074,0.032,1.17,81.841,189.466,1.565,1021.383,8.089
260,2015/1/6 9:00,0.019,0.035,0.085,0.056,0.031,0.911,83.2,168.702,1.732,1021.957,7.464
260,2015/1/6 10:00,0.018,0.031,0.081,0.045,0.041,0.549,78.988,171.244,1.82,1022.049,6.829
260,2015/1/6 11:00,0.019,0.03,0.083,0.024,0.05,0.354,68.301,131.355,1.857,1021.45,7.156
260,2015/1/6 12:00,0.02,0.03,0.085,0.022,0.054,0.392,64.891,147.425,1.673,1020.986,6.983
260,2015/1/6 13:00,0.017,0.032,0.093,0.023,0.05,0.438,67.076,149.614,1.583,1020.817,6.716
260,2015/1/6 14:00,0.016,0.037,0.097,0.025,0.047,0.422,68.759,145.115,1.864,1020.462,5.996
260,2015/1/6 15:00,0.016,0.038,0.097,0.022,0.049,0.405,68.507,152.329,1.547,1021.501,5.584
260,2015/1/6 16:00,0.014,0.04,0.086,0.022,0.05,0.377,69.769,178.118,1.432,1021.855,5.129
260,2015/1/6 17:00,0.011,0.05,0.071,0.021,0.035,0.537,80.564,205.11,1.208,1021.965,4.052
260,2015/1/6 18:00,0.01,0.054,0.066,0.027,0.028,0.513,83.282,205.21,0.88,1022.142,3.712
260,2015/1/6 19:00,0.01,0.044,0.065,0.029,0.039,0.411,80.508,210.555,1.161,1022.657,3.93
260,2015/1/6 20:00,0.01,0.032,0.067,0.026,0.052,0.332,79.703,221.667,1.232,1022.877,3.709
260,2015/1/6 21:00,0.011,0.038,0.049,0.021,0.044,0.34,80.471,220.385,1.118,1022.919,3.565
260,2015/1/6 22:00,0.011,0.028,0.04,0.017,0.057,0.279,77.217,207.877,1.184,1022.97,3.739
260,2015/1/6 23:00,0.011,0.021,0.04,0.011,0.065,0.254,74.495,208.235,1.162,1022.911,3.74
260,2015/1/7 0:00,0.011,0.018,0.034,0.01,0.068,0.168,73.884,192.7,1.093,1022.336,3.698
260,2015/1/7 1:00,0.011,0.015,0.034,0.009,0.07,0.219,73.77,220.408,1.028,1022.564,3.661
260,2015/1/7 2:00,0.011,0.018,0.033,0.01,0.065,0.225,73.795,237.323,1.288,1022.64,3.565
260,2015/1/7 3:00,0.012,0.021,0.039,0.018,0.056,0.242,74.063,245.103,1.355,1022.683,3.37
260,2015/1/7 4:00,0.013,0.024,0.034,0.017,0.054,0.269,73.277,234.999,1.22,1022.573,3.228
260,2015/1/7 5:00,0.015,0.03,0.039,0.017,0.047,0.284,72.961,274.009,1.804,1023.316,3.141
260,2015/1/7 6:00,0.017,0.035,0.043,0.021,0.04,0.342,72.801,260.043,1.447,1023.94,3.159
260,2015/1/7 7:00,0.019,0.048,0.058,0.026,0.029,0.457,71.737,239.051,1.1,1024.346,3.271
260,2015/1/7 8:00,0.021,0.043,0.067,0.026,0.035,0.487,68.918,241.335,1.327,1024.464,3.693
260,2015/1/7 9:00,0.022,0.036,0.067,0.027,0.046,0.451,64.236,239.174,1.409,1025.08,4.706
260,2015/1/7 10:00,0.028,0.036,0.066,0.029,0.051,0.449,58.653,252.278,1.53,1025.207,5.911
260,2015/1/7 11:00,0.029,0.032,0.069,0.03,0.06,0.465,53.768,253.369,1.83,1024.303,6.352
260,2015/1/7 12:00,0.028,0.03,0.069,0.039,0.068,0.584,48.963,248.533,1.952,1024.126,7.117
260,2015/1/7 13:00,0.024,0.029,0.074,0.041,0.072,0.443,48.355,239.903,1.702,1024.379,7.39
260,2015/1/7 14:00,0.026,0.033,0.078,0.042,0.07,0.458,49.571,258.919,2.081,1024.582,7.37
260,2015/1/7 15:00,0.025,0.043,0.094,0.054,0.061,0.539,51.385,212.104,1.588,1025.375,6.917
260,2015/1/7 16:00,0.024,0.051,0.101,0.058,0.052,0.566,52.709,233.243,1.382,1025.907,6.307
260,2015/1/7 17:00,0.023,0.071,0.107,0.059,0.032,0.677,54.499,248.754,1.111,1026.464,5.762
260,2015/1/7 18:00,0.023,0.073,0.114,0.062,0.029,0.736,54.43,265.001,1.164,1027.098,5.445
260,2015/1/7 19:00,0.025,0.075,0.123,0.072,0.026,0.811,55.115,268.862,1.236,1027.098,5.058
260,2015/1/7 20:00,0.024,0.087,0.144,0.09,0.008,0.974,61.409,177.662,0.586,1027.9,4.285
260,2015/1/7 21:00,0.019,0.077,0.134,0.079,0.016,0.788,68.2,147.307,0.533,1027.874,3.742
260,2015/1/7 22:00,0.017,0.078,0.086,0.053,0.014,0.685,70.693,144.36,0.459,1027.798,3.348
260,2015/1/7 23:00,0.017,0.08,0.1,0.055,0.007,0.754,73.009,184.155,0.466,1027.731,2.895
260,2015/1/8 0:00,0.018,0.079,0.096,0.058,0.006,0.483,74.534,213.291,0.583,1027.748,2.563
260,2015/1/8 1:00,0.017,0.073,0.082,0.052,0.01,0.611,74.878,200.915,0.518,1028.44,2.328
260,2015/1/8 2:00,0.015,0.063,0.07,0.045,0.015,0.544,75.409,233.426,0.567,1028.701,2.217
260,2015/1/8 3:00,0.017,0.072,0.078,0.051,0.005,0.668,78.358,252.303,0.744,1028.794,1.676
260,2015/1/8 4:00,0.024,0.067,0.081,0.048,0.01,0.484,74.738,265.191,1.024,1029.048,2.111
260,2015/1/8 5:00,0.03,0.07,0.073,0.05,0.007,0.555,72.876,270.569,1.089,1029.056,2.141
260,2015/1/8 6:00,0.036,0.074,0.102,0.063,0.005,0.911,75.364,237.647,0.679,1029.343,1.635
260,2015/1/8 7:00,0.041,0.08,0.156,0.097,0.007,1.311,79.036,233.145,0.666,1030.187,1.374
260,2015/1/8 8:00,0.055,0.072,0.171,0.1,0.013,1.186,68.922,254.547,1.129,1030.846,3.455
260,2015/1/8 9:00,0.056,0.058,0.147,0.085,0.034,1.099,57.459,255.582,1.76,1030.457,4.827
260,2015/1/8 10:00,0.051,0.046,0.12,0.072,0.055,0.868,45.755,195.07,1.262,1029.723,6.35
260,2015/1/8 11:00,0.046,0.043,0.106,0.069,0.065,0.75,40.107,248.856,1.698,1028.524,7.15
260,2015/1/8 12:00,0.044,0.041,0.1,0.063,0.072,0.647,34.878,210.089,1.469,1027.461,8.205
260,2015/1/8 13:00,0.043,0.039,0.091,0.059,0.071,0.596,31.449,216.586,1.529,1026.878,8.778
260,2015/1/8 14:00,0.048,0.044,0.092,0.058,0.069,0.65,32.742,237.444,1.591,1027.081,8.835
260,2015/1/8 15:00,0.049,0.056,0.111,0.07,0.061,0.744,34.039,224.222,1.251,1027.798,8.738
260,2015/1/8 16:00,0.051,0.079,0.123,0.076,0.04,0.869,36.97,242.411,1.1,1028.229,8.198
260,2015/1/8 17:00,0.043,0.103,0.135,0.083,0.014,1.153,38.905,174.142,0.521,1028.372,7.139
260,2015/1/8 18:00,0.044,0.115,0.158,0.101,0.008,1.474,41.755,222.331,0.461,1028.6,6.526
260,2015/1/8 19:00,0.041,0.116,0.191,0.119,0.007,1.754,45.547,122.283,0.192,1028.431,5.835
260,2015/1/8 20:00,0.037,0.124,0.186,0.119,0.007,2.291,51.004,31.431,0.313,1028.136,4.955
260,2015/1/8 21:00,0.035,0.117,0.234,0.136,0.005,1.93,57.786,72.477,0.529,1028.144,4.485
260,2015/1/8 22:00,0.035,0.109,0.197,0.123,0.006,1.895,59.956,56.828,0.395,1028.043,4.193
260,2015/1/8 23:00,0.028,0.106,0.172,0.113,0.006,2.054,64.139,13.632,0.026,1028.068,3.588
260,2015/1/9 0:00,0.032,0.107,0.17,0.112,0.005,1.402,64.416,41.736,0.247,1027.511,3.731
260,2015/1/9 1:00,0.027,0.099,0.159,0.108,0.005,1.802,66.183,15.086,0.058,1027.613,3.457
260,2015/1/9 2:00,0.025,0.094,0.149,0.106,0.005,1.897,68.572,26.753,0.057,1027.334,3.338
260,2015/1/9 3:00,0.024,0.094,0.155,0.108,0.005,1.949,72.518,56.523,0.085,1027.005,2.93
260,2015/1/9 4:00,0.025,0.093,0.148,0.106,0.005,1.637,71.485,177.208,0.392,1026.937,2.969
260,2015/1/9 5:00,0.026,0.096,0.158,0.107,0.006,1.881,71.495,241.502,0.623,1027.224,2.497
260,2015/1/9 6:00,0.028,0.104,0.222,0.138,0.006,2.332,73.136,250.091,0.614,1027.022,2.142
260,2015/1/9 7:00,0.034,0.116,0.281,0.175,0.006,2.532,73.77,203.38,0.405,1027.334,2.343
260,2015/1/9 8:00,0.046,0.129,0.33,0.197,0.007,2.725,68.146,212.021,0.6,1028.246,4.105
260,2015/1/9 9:00,0.058,0.125,0.371,0.21,0.008,2.27,61.418,253.99,1.288,1028.161,6.137
260,2015/1/9 10:00,0.079,0.105,0.341,0.197,0.016,1.848,54.673,253.49,1.482,1027.435,8.058
260,2015/1/9 11:00,0.081,0.101,0.288,0.179,0.035,1.632,50.007,247.166,1.4,1026.034,9.415
260,2015/1/9 12:00,0.07,0.085,0.269,0.172,0.067,1.449,47.22,259.816,1.553,1025.215,10.482
260,2015/1/9 13:00,0.078,0.095,0.251,0.161,0.065,1.456,45.509,250.516,1.592,1024.574,11.096
260,2015/1/9 14:00,0.079,0.105,0.256,0.162,0.056,1.436,44.407,240.303,1.244,1024.489,11.554
260,2015/1/9 15:00,0.075,0.118,0.261,0.161,0.041,1.473,44.764,250.595,1.312,1024.886,11.414
260,2015/1/9 16:00,0.064,0.14,0.27,0.162,0.017,1.594,47.57,255.04,1.156,1025.764,10.735
260,2015/1/9 17:00,0.054,0.152,0.289,0.17,0.007,1.95,52.229,241.442,0.686,1026.034,9.432
260,2015/1/9 18:00,0.046,0.16,0.323,0.188,0.007,2.48,57.027,56.344,0.083,1025.975,8.266
260,2015/1/9 19:00,0.055,0.171,0.4,0.247,0.008,3.07,61.4,127.733,0.213,1025.899,7.349
260,2015/1/9 20:00,0.041,0.16,0.44,0.28,0.008,2.885,63.48,79.441,0.124,1026.346,6.706
260,2015/1/9 21:00,0.039,0.153,0.441,0.279,0.008,3.19,66.027,19.161,0.035,1026.152,6.183
260,2015/1/9 22:00,0.033,0.145,0.444,0.294,0.007,3.368,69.652,3.472,0.01,1025.587,5.569
260,2015/1/9 23:00,0.027,0.138,0.402,0.278,0.007,3.493,74.29,19.745,0.024,1025.224,4.994
260,2015/1/10 0:00,0.031,0.149,0.392,0.273,0.006,2.135,74.463,46.52,0.075,1025.536,4.59
260,2015/1/10 1:00,0.032,0.14,0.389,0.266,0.006,3.149,76.136,102.508,0.198,1025.3,4.266
260,2015/1/10 2:00,0.033,0.133,0.422,0.283,0.006,2.992,76.589,205.582,0.411,1024.692,4.157
260,2015/1/10 3:00,0.035,0.132,0.429,0.285,0.006,2.691,75.322,253.213,0.554,1025.021,4.022
260,2015/1/10 4:00,0.041,0.13,0.416,0.28,0.007,2.738,76.088,147.884,0.262,1025.038,3.972
260,2015/1/10 5:00,0.048,0.126,0.415,0.289,0.005,2.638,76.467,211.917,0.409,1024.827,4.113
260,2015/1/10 6:00,0.041,0.119,0.352,0.24,0.004,2.277,77.336,182.756,0.343,1025.046,4.101
260,2015/1/10 7:00,0.049,0.123,0.311,0.207,0.005,2.414,77.24,181.947,0.384,1025.646,4.404
260,2015/1/10 8:00,0.062,0.127,0.352,0.224,0.006,2.43,74.588,210.707,0.526,1025.806,5.769
260,2015/1/10 9:00,0.074,0.126,0.38,0.237,0.007,2.092,66.413,249.662,1.072,1026.726,8.394
260,2015/1/10 10:00,0.089,0.125,0.353,0.222,0.018,2.04,59.836,244.164,0.944,1025.764,10.319
260,2015/1/10 11:00,0.095,0.129,0.352,0.227,0.035,2.17,55.155,253.67,1.354,1024.827,11.599
260,2015/1/10 12:00,0.092,0.117,0.33,0.212,0.059,1.78,49.05,243.141,1.495,1024,13.056
260,2015/1/10 13:00,0.068,0.083,0.283,0.176,0.088,1.159,40.471,253.705,1.507,1023.181,13.959
260,2015/1/10 14:00,0.061,0.087,0.23,0.14,0.087,1.127,38.184,256.935,1.453,1023.527,14.267
260,2015/1/10 15:00,0.056,0.095,0.226,0.138,0.074,1.137,40.891,249.911,1.056,1023.856,13.931
260,2015/1/10 16:00,0.049,0.13,0.228,0.141,0.033,1.286,41.994,244.208,0.771,1024.261,13.178
260,2015/1/10 17:00,0.043,0.163,0.257,0.145,0.007,1.879,47.286,143.555,0.238,1024.354,11.573
260,2015/1/10 18:00,0.039,0.166,0.303,0.167,0.008,2.306,55.046,3.12,0.002,1024.498,10.001
260,2015/1/10 19:00,0.035,0.17,0.321,0.19,0.007,2.636,59.621,35.398,0.063,1024.515,8.876
260,2015/1/10 20:00,0.038,0.167,0.346,0.213,0.008,2.908,60.226,172.007,0.364,1024.413,8.513
260,2015/1/10 21:00,0.035,0.159,0.411,0.243,0.007,3.051,63.11,217.126,0.369,1023.924,7.778
260,2015/1/10 22:00,0.037,0.148,0.402,0.239,0.006,2.578,64.427,209.068,0.367,1023.248,7.566
260,2015/1/10 23:00,0.036,0.141,0.366,0.222,0.005,2.277,68.622,87.039,0.126,1023.417,6.616
260,2015/1/11 0:00,0.044,0.134,0.348,0.215,0.005,1.521,69.983,112.959,0.18,1022.911,6.367
260,2015/1/11 1:00,0.047,0.132,0.336,0.219,0.006,2.105,72.1,127.661,0.241,1023.274,5.852
260,2015/1/11 2:00,0.07,0.124,0.336,0.227,0.005,1.999,73.121,157.031,0.237,1023.645,5.441
260,2015/1/11 3:00,0.083,0.116,0.326,0.224,0.005,1.71,73.764,193.544,0.334,1023.214,5.023
260,2015/1/11 4:00,0.079,0.115,0.314,0.221,0.005,1.803,74.86,216.069,0.4,1023.4,4.665
260,2015/1/11 5:00,0.084,0.118,0.32,0.225,0.005,1.906,75.451,223.119,0.467,1023.78,4.63
260,2015/1/11 6:00,0.084,0.12,0.322,0.224,0.005,2.101,76.736,194.328,0.42,1024.126,4.454
260,2015/1/11 7:00,0.08,0.125,0.342,0.23,0.006,2.47,77.862,227.405,0.51,1024.692,4.485
260,2015/1/11 8:00,0.107,0.137,0.386,0.257,0.007,2.561,74.729,237.201,0.775,1025.671,6.269
260,2015/1/11 9:00,0.123,0.156,0.429,0.292,0.009,2.435,63.181,168.591,0.472,1026.135,10.103
260,2015/1/11 10:00,0.115,0.138,0.402,0.269,0.023,2.058,51.563,255.156,1.352,1026.068,12.256
260,2015/1/11 11:00,0.091,0.085,0.282,0.183,0.069,1.644,44.359,214.103,1.363,1024.937,14.012
260,2015/1/11 12:00,0.082,0.075,0.206,0.135,0.093,1.635,42.75,224.536,1.297,1024.666,14.769
